,comment,rating
72,"Başarılı ve sağlam bir tasarım olmuş. Bu tip bir ürün ihtiyacını rahatlıkla karşılar. Üstüne satıcı firma son derece ilgili, kibar ve sorulara cevap verip sorunlara çözüm üreten cinsten. Montaj vidalarından birinde hata olduğunu gördüm firma hemen yenisini gönderdi. Gönül rahatlığıyla alınabilir",5
73,Ürünü yorumlara baktığım bir sorun ile karşılaştım. Sanırım alttaki vidalara bir tık uzun olduğu için sıkınca üstte çatlağa sebep oluyor. Burada mağaza yetkilileri bu yorumu göz önüne alarak vida işine çözüm bulurlar diye umut ediyorum. Onun dışında sehpa gayet güzel ve kullanışlı. Bir yıldızı o sebepten kırdım.,4
74,Ürün çok güzel satıcıya teşekkürler geç şipariş vermeme rağmen ertesi gün elime ulaştı Kurulumu çok basit ve kolay tasarım olmuş.(tavsiye olarak keşke masa boyutunu ayarlamak için kademe delikleri olsaydı çok mükemmel bir ürün olurdu.) Herkese tavsiye ederim her amaça uygun ürün.,5
75,Beklediğimden biraz küçük çıktı ama çok kullanışlı ve minimalist… Siparişten sonra 24 saat içinde gönderdiler.,5
76,Geldiği gibi kurdum çok basit kurulumu anlatımlı şekilde A4 kağıdı ile geliyor ki çok iyi bence kapalı bir şekilde sıfır olarak geldi şuan kaşık indiriminden faydalandı birde oyuncu masası aldım bence ihtiyacı olan alsın derim ne vida gerekiyor yada başka birşey alyan yanında geliyor 2 dk hallettim çok güzel sağlam bir ürün satıcıya ve hepsiburadaya çok teşekkür ederim 🙏,5
77,alt ayakları tahta parçaya bağladığınız vidalar mdf nin kalınlığından daha uzun. yani araya bir conta tarzı bir şey atıp sıkarsanız mdf çatlamayacaktır. ben ilk başta vidaları nasıl olsa uyumlu göndermişler diye düşündüğümden vidaları sıktıktan sonra bir çevirdim 2 tane çatlak var masanın üstünde. Neyse ki çok fazla sıkmamışım. Kullanıma engel değil göze batmıyor bu sebeple sorun yaşamadım. Yeni alacakların haberi olsun.  Onun dışında bu fiyata gayet güzel ürün,4
78,Ürün çok güzel cok begendik.Kolay kurulum resimlerle gösterilmiş ama tabi yazı da olsa iyi olurdu.Sadece ayar kısmı biraz düşündürüyor hemen kötü olur mu vs diye ama bu paraya göre çok iyi.Cok güzel paketlenmiş.Sadece kutusunda sallanıyor onun için içine bir destek köpük vs konulabilir.,5
79,Yorumlarda yükseklik ayarı acaba nasıl dengeli mi gibi cümleler okudum ama geldiğinde dirseklerimi dayayarak oturduğumda bile milim oynamadığını gördüm. Tek eksik ayakların altında yumuşak keçe eksiği bunu ise çok ucuza bulduğum yuvarlak keçeler ile kolaylıklar çözdüm. Kesinlikle tavsiye ederim.,5
80,"Kendime aldım TV karşısında yemek yerken veya işlerimi hallederken çok işime yaradı. Sağlam bir yapıda ve kurulumu kolay. Kargo çok özenli yapılmış, ürünleri sadece kutuya koymamışlar aynı zamanda bir de kapalı olarak paketlemisler. Kesinlikle kaçırmayın 👍",5
81,Çok güzel kurulumu da kolay sadece çok sıkmak isteyince penseyle çevirmeniz yeterli oluyor,5
82,Ürün sade ve çok şık duruyor. Ama daha sağlam ve genişliği 70 cm olabilirdi. Ama piyasada satılanların en iyilerinden bence.,4
83,"Koltukta otururken labtop kullanmak icin ideal, size tavsiyem kurulum yaparken metal ayaklari tahtaya vidalarken çok sıkmayın, ust yuzeyden bombe yapiyor vida, dikkat edin. Montaji da kolay zateb",5
84,"Paketleme güzel, kurulum kolay, ürün kullanışlı. Dizüstü bilgisayar ve yanına fare çok rahat sığıyor. Şantiyede konteyner içinde kullanmak için aldım, dar alan için çok ideal.",5
85,Ürün fiyatına göre gayet güzel kurulumu için içinden kağıt çıkıyor ona bakarak kolay birşekilde hallediliyor boy uzunluğunun ayarlanabilmesi çok avatajlı fakat kargolanması çok uzun sürdü bir hafta sonra hepsi buradayı arayıp şikayet edince ertesi gün kargoladılar 9gün sonra bana ulaşmış oldu 1yıldız kırdım o yüzden,4
86,İlk ve ortaokul çocukları için ideal boyutlarda. Kullanımı kolay. Malzeme kalitesi güzel. Kurulumu çok kolay. Kurulum için para vermenize değmez. Uygun fiyatlı,5
87,"Rengi, hafifliği, sallanmaması, yere tam basması, kolaylıkla montajlanması, yükseklik ayarlı olması özellikleriyle ve malzemesinin kalitesiyle çok beğendim. Görseline uygun.",5
88,"Ürünün kurulması kolay, aldığımız fiyata değdi. Ama örneğin sehpaya tutunup kalmak isterseniz o kadar sağlam değil. Genişliği ve ölçüsü ideal. Severek kullanıyoruz",5
89,"Eline vida almamış birisi olarak tek başıma kurdum o kadar basitti kurulumu, kalitesi fiyatına göre muhteşem. Kargo hızıda harika. Uzun zamandır bi siparişten bu kadar memnun kalmamıştım. Teşekkür ederim",5
